archive_id	title	category	keywords	original_path	current_path	archived_on	status	replacement	key_files
ARC-DES-001	Stage-2 allocation and site-selection comparison	design experiment	allocation;site selection;stage 2;DCP-DR;hetGP	_archive/exp_allocation/	_archive/01_experiments/design/exp_allocation/	2026-07-22	superseded	experiments/design/; current PROTOCOL.md	run_allocation_compare.py; output/exp2/allocation_summary.csv
ARC-DIA-001	Early conditional-coverage trials and advisor notes	diagnostic	conditional coverage;one-sided;advisor notes	_archive/Conditional_Coverage/	_archive/01_experiments/diagnostics/conditional_coverage/	2026-07-22	superseded	experiments/conditional_coverage/; experiments/onesided/	condtional_coverage.md; one_side_exp.md; trial_ckme_condconf.py
ARC-DIA-002	Indicator-bandwidth sweep	diagnostic	bandwidth;CDF;quantile error;CRPS	_archive/exp_h_sweep/	_archive/01_experiments/diagnostics/exp_h_sweep/	2026-07-22	completed diagnostic	experiments/adaptive_h/	run_h_sweep.py; plot_h_sweep.py
ARC-DIA-003	Oracle score-homogeneity study	diagnostic	score homogeneity;oracle scale;conditional coverage	_archive/exp_score_homogeneity/	_archive/01_experiments/diagnostics/exp_score_homogeneity/	2026-07-22	superseded	experiments/adaptive_h/; experiments/coverage_mechanism/	spec.md; run_homogeneity.py; output/summary_exp2.csv
ARC-DIA-004	Sample-SD plus NW score-homogeneity precursor	diagnostic	plug-in scale;sample SD;Nadaraya-Watson;score homogeneity	_archive/exp_score_homogeneity_plugin/	_archive/01_experiments/diagnostics/exp_score_homogeneity_plugin/	2026-07-22	superseded precursor	experiments/adaptive_h/	run_plugin.py; config.txt; output/summary_exp2.csv
ARC-DIA-005	Quantile extraction solver comparison	diagnostic	quantile extraction;isotonic;brentq;step indicator	_archive/exp_solve_test/	_archive/01_experiments/diagnostics/exp_solve_test/	2026-07-22	completed diagnostic	src/CKME/ quantile implementation	test_solve.py; output/solve_raw.csv
ARC-EXP-001	Two-dimensional Branin benchmark	exploratory benchmark	Branin;2D;heavy tails;Student-t	_archive/exp_branin/	_archive/01_experiments/exploratory_benchmarks/exp_branin/	2026-07-22	parked	None; promote only if a 2D benchmark is needed	spec.md; run_branin_compare.py; output/branin_compare_summary.csv
ARC-EXP-002	C-MAPSS remaining-useful-life study	exploratory benchmark	C-MAPSS;RUL;engines;real data	_archive/exp_cmapss/	_archive/01_experiments/exploratory_benchmarks/exp_cmapss/	2026-07-22	incomplete	None; redesign before reuse	spec.md; new_spec.md; run_cmapss.py; output/tables/cmapss_results.csv
ARC-EXP-003	Empirical returns study	exploratory benchmark	returns;real data;financial;one-sided	_archive/exp_returns/	_archive/01_experiments/exploratory_benchmarks/exp_returns/	2026-07-22	parked	None; recheck data provenance before reuse	run_returns.py; run_benchmarks_returns.R; output/returns_summary.csv
ARC-HIS-001	WSC 2026 table-reproduction runner	paper history	WSC 2026;tables;historical paper	_archive/exp_wsc_2026/	_archive/01_experiments/paper_history/exp_wsc_2026/	2026-07-22	historical reproduction	experiments/adaptive_h/	README.md; run_wsc_compare.py; make_tables.py
ARC-COD-001	Early general-purpose core package	legacy code	legacy core;models;predictors;optimizers	_archive/core/	_archive/02_legacy_code/core/	2026-07-22	deprecated	src/CKME/; src/CP/; src/Two_stage/	__init__.py; models/; predictors/
ARC-COD-002	Early and temporary experiment collection	legacy code	legacy experiments;grid size;stage 2 influence;unit tests	_archive/temp_exp_code/	_archive/02_legacy_code/temp_exp_code/	2026-07-22	deprecated	Active exp_*/ directories	Experiment/; experiment_stage2_influence/; grid_size_influence/; unit_test/
ARC-WRT-001	Dissertation and defense experiment package	writing derivative	dissertation;defense;site selection;local coverage	dissertation_use/	_archive/03_writing_derivatives/dissertation_use/	2026-07-22	completed derivative	Current manuscript and active experiments	experiment_status.md; report_site_selection.md; output/method_comparison_summary.csv
ARC-REP-001	RLCP Figure 2 reproduction and third-party repository	external reproduction	RLCP;local conformal;Gibbs;R	_archive/Conditional_Coverage/reproduce_rlcp/	_archive/04_external_reproductions/rlcp/	2026-07-22	completed reproduction	experiments/gibbs_compare/ for current comparison	reproduce_notes.md; run_reproduction.R; RLCP/README.md
ARC-QTN-001	Temporary PDF render images	quarantine	temporary;PDF;render;PNG	tmp/	_archive/90_quarantine/tmp/	2026-07-22	recoverable temporary material	Regenerate from source report when needed	pdfs/
ARC-DIA-006	Retired IQR response-scale plug-in artifacts	diagnostic	adaptive bandwidth;IQR;retired estimator;provenance	experiments/adaptive_h/output_exp4_iqr*/	_archive/01_experiments/diagnostics/adaptive_h_iqr_response_scale/	2026-07-22	retired by estimator decision	experiments/adaptive_h/sample_sd_nw_scale.py	diagnose_iqr_response_scale_outputs.py; artifacts/output_exp4_iqr/
ARC-COD-003	Pre-rename sample-SD/NW source snapshot	legacy code	sample SD;Nadaraya-Watson;source snapshot	experiments/adaptive_h/plugin_sigma.py.bak	_archive/02_legacy_code/adaptive_h_scale_snapshot/	2026-07-22	superseded	experiments/adaptive_h/sample_sd_nw_scale.py	sample_sd_nw_scale_before_bandwidth_factor.py
